delay_location|coordinates
JONES STREET|(43.671941, -79.4330397)
VICTORIA PARK AT BINGHAM LOOP|(43.681553, -79.284714)
BATURST &  KING|(43.64390350000001, -79.4026703)
CHURCH STREET|(43.8529183, -79.5162364)
KING/BATHURST|(43.893229, -79.4693962)
KING/SUMACH|(nan, nan)
DUNDAS - SUMACH TO RIVER|(43.660655, -79.36047520000001)
QUEEN AT DON VALLEY OVERPASS|(43.7076341, -79.3312244)
RONCY/QUEEN|(nan, nan)
PARLIAMENT STREET-|(43.6591884, -79.3659018)
DUFFERIN TO BS|(44.0527524, -80.1875065)
QUEEN AT SORAUREN|(43.6454241, -79.443128)
MAIN TO HIGH PARK/DUNDAS WEST STATION|(43.6568393, -79.45333409999999)
QUEEN AT JOHN.|(43.6498656, -79.3910745)
SILVERTHORNE/ST CLAIR|(43.6770883, -79.4465923)
E/B COLLEGE @ SPADINA|(43.6527581, -79.398087)
KING/UNIVERSITY|(36.5869972, -82.15945119999999)
WESTMOUNT /ST CLAIR AVE WEST|(43.6770883, -79.4465923)
KING ST. WEST AND SUDBURY ST.|(43.6409652, -79.4173237)
HARBOURFRONT ROUTE|(43.6405521, -79.3789371)
QUEEN AND RIVER (DON VALLEY BRIDGE)|(nan, nan)
MAIN STATION LOOP|(nan, nan)
WOODBINE LOOP|(43.6828384, -79.3115968)
SPADINA AND RICHMOND|(43.6527581, -79.398087)
CASTLE FRANK STN|(43.6736269, -79.3688482)
QUEEN AT WILSON PARK|(43.6394457, -79.44249429999999)
KING AND STARCHAN|(43.6420487, -79.4119498)
QUEEN AND WINEVA AVENUE|(43.67084, -79.2954013)
QUEEN ST E AT HAMBLY|(43.670715, -79.2968739)
PARLIAMENT N OF GERRARD|(nan, nan)
ST. CLAIR WEST STATION LOOP|(43.6841895, -79.4154172)
LOWER GERRARD ST. AND PARLIAMENT ST.|(43.66194780000001, -79.36702509999999)
QUEENSWAY AND PARKSIDE DR|(43.6253329, -79.5072058)
QUEEN AT DUNCAN|(43.6502183, -79.3894287)
PARKLAWN AND LAKESHORE|(43.6305047, -79.4843454)
QUEEN AT DOVERCOURT|(43.64347859999999, -79.4223717)
QUEEN AT DUFFERIN|(43.642226, -79.4286137)
QUEEN/WINEVA|(nan, nan)
QUEEN/LAING|(nan, nan)
QUEEN/CLAREMONT|(43.644334, -79.4180164)
GERRARD AT RIVER|(nan, nan)
ST CLAR WEST STN|(43.6841895, -79.4154172)
SPADINA AND WELLINGTON|(43.6440163, -79.3945394)
QUEEN AT RUSSELL DIV|(nan, nan)
QUEEN AND  GREENWOOD|(43.6512846, -79.382263)
QUEEN AND PARKSIDE|(nan, nan)
SIMCOE ST. TO BATHURST ST.|(43.893229, -79.4693962)
COLLEGE - OSSINGTON TO DUFFERIN|(43.6595215, -79.4246695)
COLLEGE AND DUNDAS|(43.5694532, -79.6289385)
SPADINA @ COLLEGE|(43.6527581, -79.398087)
SHAW / KING ST.|(43.6414282, -79.4149971)
KING / SHAW|(43.6414282, -79.4149971)
MIMICO AND LAKESHORE|(43.6137022, -79.4893613)
DUNDAS @ YONGE|(43.656325, -79.38090299999999)
MILES RD AND LAKESHORE|(43.6083254, -79.49035789999999)
DUNDAS @ SPADINA|(43.65291269999999, -79.39815469999999)
PALMERSTON AND QUEEN|(43.6466822, -79.4065344)
QUEEN AT JAMESON|(43.6404714, -79.4372735)
BROADVIEW @ GERRARD|(43.6654831, -79.35263359999999)
LAKESHORE AT SYMONS|(43.6085515, -79.490341)
ST CLAIR GUNNS TO ST CLAIR WEST|(43.6841895, -79.4154172)
FLEET STEET LOOP|(43.6360853, -79.4047213)
QUEEN/BEVERLEY|(nan, nan)
UNION STN|(43.64518899999999, -79.38061309999999)
SPADINA STN TO UNION STN|(43.6671711, -79.40435339999999)
BATHURST STN TO UNION STN|(43.6660011, -79.4112152)
QUEEN AND YONGE|(43.6524128, -79.3792588)
LAKESHORE / MIMICO|(43.6137022, -79.4893613)
ST. CLAIR WEST AND CALEDONIA AVE.|(43.6754247, -79.4547813)
UNIVERSITY AVE. TO BATHURST ST.|(43.893229, -79.4693962)
FLEET LOOP TO UNION STATION|(nan, nan)
DUNDAS AND OSSINGETON|(43.6493394, -79.4207678)
KING ST. WEST AND PORTLAND ST.|(43.6444455, -79.40005699999999)
SPADINA AND BALDWIN|(43.6549246, -79.39872)
LOCKWOOD AND QUEEN|(nan, nan)
LESLIE  BARNS|(43.6585461, -79.32472829999999)
RONCE YARD|(nan, nan)
QUEEN AND RONCESVALES|(43.644334, -79.4180164)
RONCESVALLES AND GRENADIER|(43.6489406, -79.4500642)
ST. CLAIR AND OLD WESTON|(43.6734439, -79.4629927)
CNE|(nan, nan)
DUNDAS AND HOWARD PARK|(43.6521208, -79.4480955)
SPADINA / COLLEGE|(43.6527581, -79.398087)
QUEEN AND LESLIE|(nan, nan)
KING ST. WEST AND QUEEN ST. WEST|(43.644334, -79.4180164)
KING ST. WEST AND QUEEN ST. WEST.|(43.644334, -79.4180164)
LANSDOWNE/DUNDAS WEST|(43.64941839999999, -79.4397625)
DUNDAS/ONTARIO|(43.26650890000001, -79.9568685)
ONTARIO/DUNDAS|(43.26650890000001, -79.9568685)
EASTBOUND HUMBER LOOP|(43.631195, -79.47850799999999)
BATHURST / BLOOR|(43.665132, -79.411208)
BOWMORE|(55.75689999999999, -6.29)
GERRARD / WOODBINE|(43.6792709, -79.31134569999999)
QUEEN AT UNIVERSITY|(43.6508639, -79.3864337)
NEVILLE PARK|(43.6737566, -79.2815422)
QUEEN AND ONTARIO|(43.10668, -79.06500199999999)
RONCESVALLES AND DUNDAS|(43.6538732, -79.451805)
ST CLAIR & HOUNSLOW HEATH|(43.674133, -79.4599532)
SHERBOURNE AND QUEEN|(43.661228, -79.3722185)
DUNDAS AND MURNO|(43.6620645, -79.35305749999999)
DUNDAS AND DOVERCOURT|(43.6497742, -79.4305102)
CARLTON AT PARLIAMENT|(43.664143, -79.36818699999999)
GERRARD STREET E AT DIGRASSI|(43.6708856, -79.3280752)
SCW STATION|(nan, nan)
DUNDAS WEST TO BROADVIEW STATION|(43.6568393, -79.45333409999999)
SUMACH / KING|(43.6555209, -79.35843899999999)
LONG BRANCH AVE AND LAKESHORE|(43.59438410000001, -79.5339748)
SPADINA AND QUEENSQUAY|(43.6487579, -79.396276)
MARION|(nan, nan)
RONCY AND MARION|(nan, nan)
QUEEN & COXWELL|(43.6638405, -79.3250108)
QUEENA ND CONNAUGHT|(47.5514926, -101.0020119)
RONC. CARHOUSE.|(nan, nan)
BROWNSLINE & LAKESHORE|(43.59330010000001, -79.5387149)
DUNDAS AND BROADVIEW AVE|(43.6624664, -79.351366)
DUNDAS AND DUFFERIN|(43.6496251, -79.4314243)
ST CLAIR WEST|(43.6770883, -79.4465923)
LAKESHORE & 37TH|(43.5934222, -79.5381821)
PARLIAMENT /KING|(nan, nan)
DUNDAS AND PARLAIMENT|(43.6594276, -79.36599559999999)
DUNDAS AND PARLIAMENT|(43.6594276, -79.36599559999999)
RONCESVALLES AVE. AND GARDEN ST.|(43.6463098, -79.4490457)
RONCESVALLES AVE. AND MARION ST|(43.6410636, -79.447028)
QUEEN ST. EAST AND BROADVIEW AVE.|(43.6588705, -79.3498245)
KING ST. EAST AND PARLIAMENT ST.|(43.6527427, -79.363224)
QUEEN AND YONGW|(43.6524128, -79.3792588)
LAKESHORE AND 3RD|(43.6017665, -79.50075869999999)
RUSSELL CAR HOUSE|(nan, nan)
KIPLING LOOP|(43.6795179, -79.5520073)
QUEEN & LESLIE|(nan, nan)
QUEENSWAY & COLBORNE LDG RD|(43.639606, -79.4595894)
QUEEN & KING|(nan, nan)
KING & BRANT|(43.6449434, -79.3976004)
HOWARD PARK AVE|(43.6510456, -79.4533658)
QUEEN AND GLADSTONE|(43.6425333, -79.4271162)
HOWARD PARK AVE AT RONCESVALLES|(43.6514994, -79.4510634)
QUEEN AND PALMERSTON|(43.6466822, -79.4065344)
KING ST. WEST AND JOHN ST.|(43.646602, -79.389763)
COLLEGE AT MAJOR STREET|(43.657551, -79.402664)
KING ST. EAST AND YONGE ST.|(43.6491589, -79.37789219999999)
GERRARD AT WOODBINE|(43.6808057, -79.3107465)
COXWELL AVE. AND LOWER GERRARD ST. EAST|(43.6819241, -79.3229987)
COXWELL AND LOWER GERRARD|(43.6819241, -79.3229987)
SPADINA AVE|(43.6527581, -79.398087)
QUEEN AT BROADVIEW AV|(43.6729037, -79.3557688)
RUSSEL YARD|(43.9140582, -79.3992315)
YONGE/ ST. CLAIR|(43.6872114, -79.3979925)
KINGSTON RD AT LEE AVE|(43.6781508, -79.30115820000002)
FRASER ST /KING ST|(nan, nan)
DUNDAS & BATHURST|(43.6522958, -79.4060126)
VAUGHN RD & ST.CLAIR|(43.6827095, -79.4200063)
COXWELL & QUEEN|(43.6819241, -79.3229987)
RONC. CRHOUSE.|(43.8356386, -79.33527339999999)
RONC CARHOUSE.|(nan, nan)
VICTORIA & QUEEN|(nan, nan)
QUEEN & SUMACH|(43.6616959, -79.3609096)
KING & SUMACH|(43.6616959, -79.3609096)
ST CLAIR& TWEEDSMUIR|(43.6842038, -79.4134174)
ST CLAIR WEST STN EXIT.|(43.6770883, -79.4465923)
CHURCH/DUNDAS|(43.26650890000001, -79.9568685)
GERRARD AND DEGRASSI|(43.6708856, -79.3280752)
MILLBROCK/BROADVIEW|(43.671983, -79.3548977)
BROADVIEW AVE AT MILLBROOK|(43.671983, -79.3548977)
CANADA BLVD DR|(43.6348404, -79.4098224)
RONCESVALLES AND QUEENSWAY|(43.6387919, -79.4461334)
JARVIS|(nan, nan)
GREENWOOD|(nan, nan)
HOWARD PARK & DUNDAS|(43.6521208, -79.4480955)
OHARA AND QUEEN|(43.6411144, -79.43415259999999)
CHERRY LOOP|(nan, nan)
KING ST. WEST AND UNIVERSITY AVE.|(43.6476565, -79.3848108)
SPADINA & QUEEN|(43.6487579, -79.396276)
KING ST. WEST AND SPADINA AVE.|(43.64550450000001, -79.39492159999999)
ST CLAIR & VAUGHAN ROAD|(43.6827095, -79.4200063)
RONCE|(nan, nan)
PORTLAND / QUEEN ST W|(43.647714, -79.4014195)
DISTILLERY LOOP|(43.6508601, -79.35675979999999)
QUEEN AT YORK|(43.651199, -79.3849089)
BATHURST|(43.893229, -79.4693962)
LANDSDOWNE|(38.741454, -77.171121)
BROADVIEW/QUEEN|(nan, nan)
DOVERCOURT|(43.658187, -79.4281812)
AVENUE RD/ST.CLAIR|(43.6865435, -79.40145729999999)
COXWELL|(43.6819241, -79.3229987)
KING & SPADINA|(43.6527581, -79.398087)
KING ST. EAST AND SUMACH ST.|(43.6555209, -79.35843899999999)
QUEEN AT MANNING|(nan, nan)
DUNDAS & LANSDOWNE|(43.6501696, -79.43974519999999)
BROADVIEW STATION LOOP TO DUNDAS WEST STATION LOOP|(43.6568393, -79.45333409999999)
DUFFERIN LOOP TO DISTILLERY LOOP|(43.63439899999999, -79.425873)
COXWELL / GERRARD|(43.673334, -79.319706)
LAKESHORE AND 27TH STREET|(43.59644120000001, -79.5249365)
LAKESHORE AND 2155|(nan, nan)
QUEEN AND RAINSFORD|(nan, nan)
GEOFFREY / RONCEVALLES|(43.6464617, -79.4435762)
HOWARD PARK/RONCY|(nan, nan)
COXWELL/GERRARD|(43.6708856, -79.3280752)
SPADINA  / QUEENS QUAY|(43.6487579, -79.396276)
EUCLID|(41.5931049, -81.5267873)
CRAWFORD|(nan, nan)
ELLIS & QUEENWSAY|(43.6253329, -79.5072058)
UPPER GERRARD/KINGSMOUNT|(nan, nan)
COLLEGE/BROCK|(nan, nan)
CARLTON/CHURCH|(nan, nan)
GERRARD/MAJORY|(43.66877969999999, -79.3375539)
KING & BAY|(43.6486507, -79.3802583)
QUEEN @ LANSDOWNE|(43.6406044, -79.43664609999999)
BATHURST/ KING|(44.0386638, -79.5011665)
OAKWOD/ ST CLAIR LOOP|(43.6794987, -79.4358172)
QUEEN AT ALTON|(nan, nan)
QUEEN & GREENWOOD|(nan, nan)
RONCY & QUEEN|(nan, nan)
OA|(nan, nan)
KING & RIVER|(nan, nan)
QUUEN'S QUAY BEFORE SPADINA|(43.6527581, -79.398087)
GERRARD EAST OF BROADVIEW|(nan, nan)
ST CLAIR AND WINONA|(43.680195, -79.4324721)
LAKESHORE @ KIPLING|(43.5982045, -79.5169695)
QUEEN @ SPADINA|(43.6527581, -79.398087)
KINGSTON ROAD @ QUEEN|(43.667984, -79.31227899999999)
HIGH PARK LOOP-MAIN STN|(43.6478206, -79.4582002)
NIAGARA @ QUEEN|(43.6459939, -79.4099355)
GREENWOOD AND QUEEN|(nan, nan)
QUEEN & GLADSTONE|(43.6425333, -79.4271162)
CALEDONIA/ ST CLAIR|(43.6770883, -79.4465923)
MNT DENNIS|(43.6870047, -79.4897294)
COLLEGE/ST. GEORGE|(nan, nan)
SPRINGHURST LOOP|(43.6338376, -79.430928)
HOWARD PARK AT RONCESVALLES|(43.6514994, -79.4510634)
DUNDAS AT HOWARD PARK|(43.6521208, -79.4480955)
SPADINA AND REESE|(43.6527581, -79.398087)
QUEEN & LOCKWOOD|(nan, nan)
GERRARD AT CARLAW|(43.66762260000001, -79.342759)
DUNDAS AND BROCK|(43.5694532, -79.6289385)
RONCY & CONSTANCE|(nan, nan)
DUNDAS AT STERLING|(43.263755, -79.950233)
BATHURST/ DUNDAS|(43.6522958, -79.4060126)
DUNDAS AND RONCY|(43.5106999, -79.6946094)
COLLEGE AT LANSDOWNE|(43.6512049, -79.4398324)
OSSINGTON/ DUNDAS|(43.6493394, -79.4207678)
KING ST. EAST AND TRINITY ST.|(43.6535097, -79.36187699999999)
BROADVIEW AVE. AND GERRARD ST. EAST|(43.6654831, -79.35263359999999)
KING ST. WEST AND BAY ST.|(43.6486507, -79.3802583)
QUEEN AND SHERBORNE|(nan, nan)
QUEEN AND SILVERBIRCH|(nan, nan)
GERRARD AT BROADVIEW|(43.6654831, -79.35263359999999)
RONC. YARD.|(nan, nan)
SUMACH|(nan, nan)
DUNDAS AND OSSINGSTON|(43.6493394, -79.4207678)
BROADVIEW|(nan, nan)
USTLER ST / BATHURST|(43.6598108, -79.409058)
RONCESVALLES/ YARD|(43.6463098, -79.4490457)
QUEEN AT LANG|(nan, nan)
QUEEN AT LAING|(nan, nan)
DUNDAS & RIVER|(-37.51383798236348, 141.9977128681577)
HOWARD PARK, WEST OF RONCESVALLES|(43.6464617, -79.4435762)
KING ST. WEST AND TECUMSETH RD.|(43.6433939, -79.4052578)
QUEEN AND DUNCAN|(43.6502183, -79.3894287)
QUEEN @ UNIVERSITY|(43.644334, -79.4180164)
QUEEN STREET @ GREENWOOD|(43.6643718, -79.3252892)
KING & PARLIAMENT|(43.65420599999999, -79.36097459999999)
SHERBORNE|(50.947822, -2.5144829)
QUEEN & WORKMAN|(43.644454, -79.4174803)
BROADVIEW & GERRARD|(43.6654831, -79.35263359999999)
CHRISTIE/ ST CLAIR|(43.6810603, -79.4272697)
REES & QUEEN'S QUAY|(43.6389071, -79.3879358)
QUEEN'S QUAY AT REES|(43.6382515, -79.3895182)
BATHURST/ CARR ST|(43.6489611, -79.4046729)
BREMNER & SPADINA|(43.6405651, -79.3928444)
BAY & DUNDAS|(43.6557389, -79.38374019999999)
EDNA ST. AND DUNDAS ST. WEST|(43.5694532, -79.6289385)
RONCESVALLES AVE. AND GRENADIER RD.|(43.6489406, -79.4500642)
OAKWOOD & ST.CLAIR.|(43.6794987, -79.4358172)
QUEEN AND OHARA|(43.6411144, -79.43415259999999)
PARLIAMENT & DUNDAS|(43.6594276, -79.36599559999999)
DUFFERIN ST. AND KING ST. WEST|(43.638954, -79.4273614)
COLLEGE AND MAJOR|(nan, nan)
UPPER GERRARD AND BEATON|(43.6761831, -79.3169419)
QUEENS QUAY AND DAN LECKIE WAY|(43.6366169, -79.39667659999999)
EXHIBITION|(nan, nan)
DUORO|(41.50561058101842, -5.492254831585304)
KING & SHAW|(43.6414282, -79.4149971)
DUNDAS/OSSINGTON|(43.6493394, -79.4207678)
RONCESVALLES AT QUEEN NORTH SIDE|(43.6464617, -79.4435762)
PRINCES GATES|(43.6346793, -79.4095262)
COLLEGE & SPADINA|(43.6527581, -79.398087)
KING AT STRACHAN|(43.6420487, -79.4119498)
STRACHAN/ KING|(nan, nan)
LOWER SIMCOE|(43.6419122, -79.3838046)
KING AT JAMESON AVE|(43.6364487, -79.4357331)
KINGSTON ROAD LOOP|(43.7619783, -79.1946749)
KING AT DUNN|(43.6377488, -79.4332591)
WHOOLSLEY/ LOOP|(nan, nan)
QUEEN & CARLAW|(43.6616929, -79.34003299999999)
WHOOLSLEY LOOP|(nan, nan)
OAKWOOD/ ST CLAIR|(43.6794987, -79.4358172)
FLEET|(nan, nan)
QUEEN AND PORTLAND|(43.6471229, -79.4013879)
DUFFERIN LOOP TO BROADVIEW AVE./QUEEN ST. EAST|(43.63439899999999, -79.425873)
QUEEN AND NIAGARA|(43.6459939, -79.4099355)
BATHURST - SEE SR|(nan, nan)
ST.CLAIR & PRESCOTT AVE|(43.67490859999999, -79.45713049999999)
UNION PLATFORM - QUEENS QUAY TUNNELL|(43.6382515, -79.3895182)
EDNA ST. EXITING DUNDAS WEST STATION LOOP|(43.6568393, -79.45333409999999)
BROADVIEW AVE. AND MOUNTSTEPHEN ST.|(43.6640548, -79.3520283)
BURLINGTON ST AND LAKESHORE BLVD|(43.617302, -79.487344)
DUFFRIN AND QUEEN|(43.642226, -79.4286137)
DUFFRIN LOOP|(43.63439899999999, -79.425873)
FRONT /SPADINA`|(43.6427164, -79.39403539999999)
LANSDOWNE/DUNDAS|(43.64941839999999, -79.4397625)
LANSDOWNE / DUDNAS|(43.6501696, -79.43974519999999)
SHERBOURNE AND KING|(43.661228, -79.3722185)
DANFORTH/BROADVIEW|(43.6651786, -79.3526857)
KING AND ONTARIO|(42.974653, -79.251359)
ST.GEORGE|(nan, nan)
ST.CLAIR STN TO GUNNS LOOP|(43.671913, -79.47184)
QUEEN ST|(43.644334, -79.4180164)
DUNDAS @ CHURCH|(43.6565, -79.3771328)
KING AT DUORO|(43.6411044, -79.41661719999999)
KING AT DRURO|(43.6411044, -79.41661719999999)
BATHURAT AT DUNDAS|(43.6522958, -79.4060126)
KING / PETER|(nan, nan)
QUEEN/YONGE|(nan, nan)
DUNDAS / RONCY|(43.5106999, -79.6946094)
RONCY / QUEEN|(nan, nan)
FLEET STREET/FORT YORK BLVD|(43.6364564, -79.40690219999999)
BLACKBURN|(43.6641773, -79.354783)
WILSON GARAGE|(nan, nan)
BORADVIEW STATION|(43.6769104, -79.3581849)
SPADINA STATION TUNNEL|(43.6671711, -79.40435339999999)
DUNDAS AND BLOOR|(43.6426178, -79.53223059999999)
GERRARD @ COXWELL|(43.6753569, -79.32028249999999)
QUEENSWAY AT WINDEMERE|(43.6373075, -79.47000729999999)
RIVER STREET|(43.6616018, -79.3583153)
CONNAGUHT/ QUEEN|(nan, nan)
LAKESHORE/KIPLING|(43.6014073, -79.5190831)
DUFFERIN/ QUEEN|(43.642226, -79.4286137)
ELLIS AVE / QUEENSWAY|(43.6377122, -79.4663906)
COXWELL & GERRARD E|(43.6753569, -79.32028249999999)
COXWELL NORTH OF GERRARD EAST|(43.6708856, -79.3280752)
QUEENSWAY/ GLENDALE RD|(43.6253329, -79.5072058)
MC CAUL LOOP|(43.6519391, -79.390311)
COXWELL / QUEEN|(43.6819241, -79.3229987)
DUFFERIN/ KING|(44.0729838, -79.5379575)
SPADINA|(43.6527581, -79.398087)
RONCESVALLES/ QUEEN|(43.6406044, -79.4366461)
GRACE STREET|(43.6569737, -79.4164664)
UNION PLATFORM|(nan, nan)
GERRARD AT JONES|(nan, nan)
CARLTON/ONTARIO|(45.14060300000001, -76.146546)
WESTON RD & ST.CLAIR AVE W|(43.6726177, -79.4675697)
ALBERTA & ST.CLAIR AVE. W|(43.680085, -79.4337288)
ST.CLAIR WEST STN TO GUNNS LOOP.|(43.671913, -79.47184)
RONCESVALLES AND GARDEN|(43.6463098, -79.4490457)
OAKWOOD LOOP & ST.CLAIR..|(43.6794987, -79.4358172)
MARION STREET|(43.6415999, -79.4443375)
UPPER GERRARD/BOWMORE|(43.6780623, -79.31499149999999)
SPRINGHURST LOOP/DUFFERIN|(43.6348863, -79.4258011)
SPADINA AND RUSSELL STREET|(43.6594915, -79.4015793)
DISTRILLERY LOOP|(43.6508601, -79.35675979999999)
YONGE|(43.9120105, -79.4467502)
NIAGARA|(43.0581645, -79.29021329999999)
COLLEGE/SPADINA|(43.6527581, -79.398087)
LAKESHORE AT MARINE PARADE|(43.630284, -79.4769342)
QUEEN AND CAUNNAGHT|(nan, nan)
LESLIE BARNS|(43.6585461, -79.32472829999999)
KING AND DUNN|(nan, nan)
GUNNS LOOP & ST.CLAIR WEST.|(43.6718533, -79.4711359)
UNION STATION TUNNEL|(nan, nan)
QUEEN AT HAMILTON|(43.2521082, -79.8816828)
DUNDAS AND STIRLING|(43.5106999, -79.6946094)
DUNDAS AT STERLING AVE|(nan, nan)
WINEVA/ QUEEN|(43.67084, -79.2954013)
DUFFERIN LOOP.|(43.63439899999999, -79.425873)
RONCESVALLES YRD|(43.6464617, -79.4435762)
PARLIAMENT N OF QUEEN|(nan, nan)
SPADINA AT SUSSEX|(43.6646377, -79.40282859999999)
KING AND TECHUMSE|(43.6433939, -79.4052578)
RONCESVALLES AND KING ST|(43.6387919, -79.4461334)
LAKESHORE AND NORRIS CRES|(43.6109568, -79.4900698)
NORWOOD AND GERRARD|(43.6833834, -79.302855)
KING AND TECUMSETH|(43.6433939, -79.4052578)
DE GRASSI AND GERRARD|(43.666362, -79.3485183)
KING AND STRACHAN|(43.6420487, -79.4119498)
QUEEN / LEE AVE|(nan, nan)
CHERRY & FRONT|(nan, nan)
GERRARD AND JONES|(43.6708856, -79.3280752)
WINDERMERE/LAKESHORE|(nan, nan)
BATHURST/ QUEEN|(43.6471969, -79.4039809)
CONNAGHT/QUEEN|(nan, nan)
SPADINA AT COLLEGE|(43.6527581, -79.398087)
KING ST|(nan, nan)
CNE PRINCE'S GATE|(43.6346793, -79.4095262)
DUNDAS AT SPADINA|(43.65291269999999, -79.39815469999999)
QUEENS QUAY AT REESE|(43.6382515, -79.3895182)
ALBERTA & ST.CLAIR AVE|(43.680085, -79.4337288)
KING & CHARLOTTE LOOP|(nan, nan)
DUNDAS @ RIVER|(nan, nan)
SUMACH/QUEEN|(nan, nan)
HIGH PARK LOOP - MAIN STATION|(43.6478206, -79.4582002)
SUMACH/ QUEEN|(nan, nan)
CARLAW AND GERRARD|(43.66762260000001, -79.342759)
QUEEN STREET AND RONCESVALLES|(43.6463098, -79.4490457)
BAY AND QUEEN|(43.6518897, -79.38173239999999)
ST CLAIR & ARLINGTON|(43.6809683, -79.42883669999999)
COXWELL TO MAIN|(43.6819241, -79.3229987)
ATLANTIC AVE AND KING|(43.6401779, -79.4212498)
NEVILLE PARK LOOP TO SUNNYSIDE LOOP|(43.6737566, -79.2815422)
KING AT UNIVERSITY|(43.6472532, -79.3866709)
DUNDAS WEST STATION TO KING & UNIVERSITY|(43.6568393, -79.45333409999999)
KING/SHAW TO KING/JARVIS|(nan, nan)
QUEEN & SHERBOURNE|(43.6523969, -79.3792228)
DUFFERIN LOOP TO LONG BRACH LOOP|(43.63439899999999, -79.425873)
LAKE SHORE BLVD. AND BROWN'S LINE|(43.59330010000001, -79.5387149)
DUNDAS AT BEVERLEY STREET|(43.6538153, -79.39381809999999)
KING ST W AT SPENCER|(43.6472532, -79.3866709)
KING ST. AND DUFFERIN|(43.638954, -79.4273614)
CARLAW / QUEEN|(43.6701711, -79.3437927)
QUEEN/UNIVERSITY|(44.2252795, -76.49514119999999)
SPADINA SATION.|(43.6671711, -79.40435339999999)
OSSINGTON|(43.6595215, -79.4246695)
CNE - MANITOBA DRIVE|(43.6359089, -79.4164347)
SPENCER / KING|(nan, nan)
ST.CLAIR & DUFFERIN TO GUNNS LOOP|(43.671913, -79.47184)
ST.LAIR AT VAITALIA|(nan, nan)
NEVILLIE LOOP|(43.6737566, -79.2815422)
QUEEN AND KINSTON|(35.2626635, -77.5816353)
QUEEN @ CARLAW|(43.6701711, -79.3437927)
MT.DENNIS YARD|(43.691694, -79.5074459)
QUUEN AND CANNOUGHT|(nan, nan)
DUNDAS @ SHERIDAN|(43.6497658, -79.4336617)
DUNDAS @ HOWARD PARK|(43.6521208, -79.4480955)
ST.CLAIR AT AVENUE|(43.6770883, -79.4465923)
DUFFERIN LOOP TO BROADVIEW/QUEEN|(43.63439899999999, -79.425873)
RONCESVALLES TO UNIVERSITY|(43.6464617, -79.4435762)
KING AND PORTLAND|(43.64465269999999, -79.4003826)
RONCESVALLES/KING|(43.6464617, -79.4435762)
WILSON PARK TO RONCESVALLES|(43.6464617, -79.4435762)
QUEEN/ CARROLL ST|(43.6600443, -79.3532052)
NASSAU & BATHURST ST.|(43.6542889, -79.4068205)
QUEEN @ BROADVIEW|(nan, nan)
LAKESHORE & LOUISA|(nan, nan)
QUEEN @ TRILLER|(43.6392009, -79.4437714)
COLLEGE AT SPADINA|(43.6580664, -79.3994458)
QUEEN AND MCCLEAN|(43.6721006, -79.2912054)
DUFFERIN LOOP TO QUEEN ST. EAST/BROADVIEW AVE.|(43.63439899999999, -79.425873)
OSSINGTON AND DUNDAS|(43.6493394, -79.4207678)
CHARLOTTLE LOOP|(43.15747409999999, -77.59598570000001)
ATLANTIC AVENUE AND KING|(43.6401779, -79.4212498)
CLOSE AVENUE|(43.6374494, -79.4346958)
DUNDAS AND MUTUAL|(43.6568172, -79.37563899999999)
MAIN/GERRARD|(43.6841689, -79.3005919)
QUEEN @ KINGSTON ROAD|(43.7619783, -79.1946749)
KING & SHERBOURNE|(43.661228, -79.3722185)
LANSDOWNE @ QUEEN|(43.6407785, -79.436642)
DUNDAS AND LANDOWNE|(43.6501696, -79.43974519999999)
GLENDALE & QUEENSWAY|(43.6253329, -79.5072058)
QUEEN|(nan, nan)
QUEEN @ BATHURST|(43.6471969, -79.4039809)
GERRARD AT GLENMOUNT PARK ROAD|(43.6826754, -79.30601089999999)
PARLIAMENT ST. TO BROADVIEW STATION|(43.6769104, -79.3581849)
DUNDAS AND PARLIAMENT TO BROADVIEW AND GERRARD|(43.6654831, -79.35263359999999)
BATHURST & COLLEGE|(43.65418, -79.4071017)
DUNDAS AND YOUNG|(43.656325, -79.38090299999999)
QUEEN AND RONCESEVALLES|(43.644334, -79.4180164)
KING AND JEFFERSON|(42.156161, -83.176035)
LAKESHORE AT 10TH|(43.6000291, -79.50865639999999)
ST.CLAIR STN|(43.6874845, -79.3930467)
NORTHCLIFFE & ST.CLAIR WEST|(43.6785033, -79.44085319999999)
DUNDAS AND RIVER|(43.6628199, -79.351528)
BROADVIEW AT WITHROW AVENUE|(43.6697167, -79.35319360000001)
BROADVIEW AT WITHROW|(43.6697167, -79.35319360000001)
DUFFERIN/LIBERTY|(43.6363637, -79.42612830000002)
DUFFERIN & LIBERTY|(43.63708219999999, -79.4266444)
QUEEN/CHURCH|(nan, nan)
ST CLAIR & KEELE|(43.672473, -79.4675352)
DUNDAS WEST TO BROADVIEW|(43.5694532, -79.6289385)
APPROACHING UNION STN|(43.64518899999999, -79.38061309999999)
LOWER GERRARD AT COXWELL|(43.6753569, -79.32028249999999)
LAKESHORE AND BROWNSLINE|(43.59330010000001, -79.5387149)
DUNDAS WEST TO BROADVIEW STN|(43.6568393, -79.45333409999999)
QUEEN AND STRACHAN|(43.64533489999999, -79.4131843)
QUEEN AT HAMBLY|(nan, nan)
HOWARD PARK ON DUNDAS|(43.5694532, -79.6289385)
COLLEGE AT MCCAUL|(43.6593806, -79.39333979999999)
KING AND BROADVIEW|(43.6729037, -79.3557688)
